isocode,country,agroecological_zones,administrative_areas,agricultural_practices,measuredItemCPC,crop,scientific_name,botanical_family,other_names,additional_information,planting_period_onset,,planting_period_end,sowing_planting_rate,sowing_planting_rate_range,sowing_planting_rate_unit,length_of_the_cropping_cycle,harvesting_period_onset,harvesting_period_end,comments,harvesting_month_onset,harvesting_month_end,sowing_month_start,sowing_month_end,,,,
AFG,Afghanistan,,,,0115,Barley,,,,Winter grains ,12,,4,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,6,10,11,,,,
AFG,Afghanistan,,,,0112,Maize (corn),,,,,6,,7,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,8,8,5,5,,,,
AFG,Afghanistan,,,,0113,Rice,,,,,7,,9,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,10,11,5,6,,,,
AFG,Afghanistan,,,,0111,Wheat,,,,Spring,5,,7,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,8,9,3,4,,,,
AFG,Afghanistan,,,,0111,Wheat,,,,Winter,12,,4,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,6,10,11,,,,
ALB,Albania,,,,0115,Barley,,,,,12,,5,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,7,10,12,,,,
ALB,Albania,,,,01701,Beans,,,,,6,,7,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,7,8,4,6,,,,
ALB,Albania,,,,0112,Maize (corn),,,,,6,,8,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,8,10,4,6,,,,
ALB,Albania,,,,0117,Oats,,,,,12,,5,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,7,10,12,,,,
ALB,Albania,,,,01510,Potatoes,,,,,4,,5,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,9,,,,,,
ALB,Albania,,,,0116,Rye,,,,,12,,5,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,5,7,10,12,,,,
ALB,Albania,,,,012,Vegetables,,,,Spring/Field Planting,,,,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,8,10,,,,,,
ALB,Albania,,,,012,Vegetables,,,,Spring/Greenhouse Planting,,,,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,9,10,,,,,,
ALB,Albania,,,,012,Vegetables,,,,Winter,12,,2,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,2,4,,,,,,
ALB,Albania,,,,0111,Wheat,,,,,12,,5,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,6,7,10,12,,,,
DZA,Algeria,South,"Adrar, Ouargla, Laghouat, Gardaia, El Oued, Biskra",Irrigated cereals and potato cultivation,01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,28/02,,5-Apr,kg/ha,65-90 days,15/05,15/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,6,,,,,,
DZA,Algeria,West Littoral,Oran-Mostaganem,Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-potato),01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,15/02,,5-Apr,kg/ha,65-90 days,6-Jan,20/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,6,,,,,,
