Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2013,2013,kcal/capita/day,541,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2511,Wheat and products,2013,2013,kcal/capita/day,527,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2542,Sugar (Raw Equivalent),2013,2013,kcal/capita/day,200,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2514,Maize and products,2013,2013,kcal/capita/day,147,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2848,Milk - Excluding Butter,2013,2013,kcal/capita/day,138,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2733,Pigmeat,2013,2013,kcal/capita/day,124,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2013,2013,kcal/capita/day,82,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2605,"Vegetables, Other",2013,2013,kcal/capita/day,74,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2531,Potatoes and products,2013,2013,kcal/capita/day,64,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2734,Poultry Meat,2013,2013,kcal/capita/day,59,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2577,Palm Oil,2013,2013,kcal/capita/day,52,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2731,Bovine Meat,2013,2013,kcal/capita/day,40,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2532,Cassava and products,2013,2013,kcal/capita/day,37,Fc,Calculated data
