Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Related source links
EG.ELC.ACCS.ZS,Open,Access to electricity (% of population),,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.","World Bank, Sustainable Energy for all (SE4ALL) database from World Bank, Global Electrification database.",Environment: Energy production & use,,Annual,,,Weighted average,"Data for access to electricity are collected among different sources: mostly data from nationally representative household surveys (including national censuses) were used. Survey sources include Demographic and Health Surveys (DHS) and Living Standards Measurement Surveys (LSMS), Multi-Indicator Cluster Surveys (MICS), the World Health Survey (WHS), other nationally developed and implemented surveys, and various government agencies (for example, ministries of energy and utilities). Given the low frequency and the regional distribution of some surveys, a number of countries have gaps in available data. To develop the historical evolution and starting point of electrification rates, a simple modeling approach was adopted to fill in the missing data points - around 1990, around 2000, and around 2010. Therefore, a country can have a continuum of zero to three data points. There are 42 countries with zero data point and the weighted regional average was used as an estimate for electrification in each of the data periods. 170 countries have between one and three data points and missing data are estimated by using a model with region, country, and time variables. The model keeps the original observation if data is available for any of the time periods. This modeling approach allowed the estimation of electrification rates for 212 countries over these three time periods (Indicated as ""Estimate""). Notation ""Assumption"" refers to the assumption of universal access in countries classified as developed by the United Nations.","Maintaining reliable and secure electricity services while seeking to rapidly decarbonize power systems is a key challenge for countries throughout the world. More and more countries are becoming increasing dependent on reliable and secure electricity supplies to underpin economic growth and community prosperity. This reliance is set to grow as more efficient and less carbon intensive forms of power are developed and deployed to help decarbonize economies.

Energy is necessary for creating the conditions for economic growth. It is impossible to operate a factory, run a shop, grow crops or deliver goods to consumers without using some form of energy. Access to electricity is particularly crucial to human development as electricity is, in practice, indispensable for certain basic activities, such as lighting, refrigeration and the running of household appliances, and cannot easily be replaced by other forms of energy. Individuals' access to electricity is one of the most clear and un-distorted indication of a country's energy poverty status.

Electricity access is increasingly at the forefront of governments' preoccupations, especially in the developing countries. As a consequence, a lot of rural electrification programs and national electrification agencies have been created in these countries to monitor more accurately the needs and the status of rural development and electrification.

Use of energy is important in improving people's standard of living. But electricity generation also can damage the environment. Whether such damage occurs depends largely on how electricity is generated. For example, burning coal releases twice as much carbon dioxide - a major contributor to global warming - as does burning an equivalent amount of natural gas.",,,
NY.GSR.NFCY.CD,Open,Net income from abroad (current US$),,"Net income includes the net labor income and net property and entrepreneurial income components of the SNA. Labor income covers compensation of employees paid to nonresident workers. Property and entrepreneurial income covers investment income from the ownership of foreign financial claims (interest, dividends, rent, etc.) and nonfinancial property income (patents, copyrights, etc.). Data are in current U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,,Annual,,,,,,,,
WP_time_01.8,Open,"Account at a financial institution, income, poorest 40% (% ages 15+)",,Account at a financial institution denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,"Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",Financial Sector: Access,,Annual,,,Weighted average,,,,,
WP_time_01.9,Open,"Account at a financial institution, income, richest 60% (% ages 15+)",,Account at a financial institution denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,"Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",Financial Sector: Access,,Annual,,,Weighted average,,,,,
NY.ADJ.NNTY.KD,Open,Adjusted net national income (constant 2010 US$),,Adjusted net national income is GNI minus consumption of fixed capital and natural resources depletion.,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",Economic Policy & Debt: National accounts: Adjusted savings & income,,Annual,2010,,Gap-filled total,"Adjusted net national income complements gross national income (GNI) in assessing economic progress (Hamilton and Ley 2010) by providing a broader measure of national income that accounts for the depletion of natural resources.

Adjusted net national income is calculated by subtracting from GNI a charge for the consumption of fixed capital (a calculation that yields net national income) and for the depletion of natural resources. The deduction for the depletion of natural resources, which covers net forest depletion, energy depletion, and mineral depletion, reflects the decline in asset values associated with the extraction and harvesting of natural resources. This is analogous to depreciation of fixed assets.

Growth rates of adjusted net national income are computed from constant price series deflated using the gross national expenditure (formerly domestic absorption) deflator.","Adjusted net national income is particularly useful in monitoring low-income, resource-rich economies, like many countries in Sub-Saharan Africa, because such economies often see large natural resources depletion as well as substantial exports of resource rents to foreign mining companies. For recent years adjusted net national income gives a picture of economic growth that is strikingly different from the one provided by GDP.

The key to increasing future consumption and thus the standard of living lies in increasing national wealth - including not only the traditional measures of capital (such as produced and human capital), but also natural capital. Natural capital comprises such assets as land, forests, and subsoil resources. All three types of capital are key to sustaining economic growth. By accounting for the consumption of fixed and natural capital depletion, adjusted net national income better measures the income available for consumption or for investment to increase a country's future consumption.","Adjusted net national income differs from the adjustments made in the calculation of adjusted net savings, by not accounting for investments in human capital or the damages from pollution. Thus, adjusted net national income remains within the boundaries of the United Nations System of National Accounts (SNA).

The SNA includes non-produced natural assets (such as land, mineral resources, and forests) within the asset boundary when they are under the effective control of institutional units. The calculation of adjusted net national income, which accounts for net forest, energy, and mineral depletion, as well as consumption of fixed capital, thus remains within the SNA boundaries. This point is critical because it allows for comparisons across GDP, GNI, and adjusted net national income; such comparisons reveal the impact of natural resource depletion, which is otherwise ignored by the popular economic indicators.",,
NY.ADJ.NNTY.CD,Open,Adjusted net national income (current US$),,Adjusted net national income is GNI minus consumption of fixed capital and natural resources depletion.,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",Economic Policy & Debt: National accounts: Adjusted savings & income,,Annual,,,Gap-filled total,"Adjusted net national income complements gross national income (GNI) in assessing economic progress (Hamilton and Ley 2010) by providing a broader measure of national income that accounts for the depletion of natural resources.

Adjusted net national income is calculated by subtracting from GNI a charge for the consumption of fixed capital (a calculation that yields net national income) and for the depletion of natural resources. The deduction for the depletion of natural resources, which covers net forest depletion, energy depletion, and mineral depletion, reflects the decline in asset values associated with the extraction and harvesting of natural resources. This is analogous to depreciation of fixed assets.","Adjusted net national income is particularly useful in monitoring low-income, resource-rich economies, like many countries in Sub-Saharan Africa, because such economies often see large natural resources depletion as well as substantial exports of resource rents to foreign mining companies. For recent years adjusted net national income gives a picture of economic growth that is strikingly different from the one provided by GDP.

The key to increasing future consumption and thus the standard of living lies in increasing national wealth - including not only the traditional measures of capital (such as produced and human capital), but also natural capital. Natural capital comprises such assets as land, forests, and subsoil resources. All three types of capital are key to sustaining economic growth. By accounting for the consumption of fixed and natural capital depletion, adjusted net national income better measures the income available for consumption or for investment to increase a country's future consumption.","Adjusted net national income differs from the adjustments made in the calculation of adjusted net savings, by not accounting for investments in human capital or the damages from pollution. Thus, adjusted net national income remains within the boundaries of the United Nations System of National Accounts (SNA).

The SNA includes non-produced natural assets (such as land, mineral resources, and forests) within the asset boundary when they are under the effective control of institutional units. The calculation of adjusted net national income, which accounts for net forest, energy, and mineral depletion, as well as consumption of fixed capital, thus remains within the SNA boundaries. This point is critical because it allows for comparisons across GDP, GNI, and adjusted net national income; such comparisons reveal the impact of natural resource depletion, which is otherwise ignored by the popular economic indicators.",,
NY.ADJ.NNTY.PC.KD.ZG,Open,Adjusted net national income per capita (annual % growth),,Adjusted net national income is GNI minus consumption of fixed capital and natural resources depletion.,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",Economic Policy & Debt: National accounts: Adjusted savings & income,,Annual,,,Weighted average,,,,,
NY.ADJ.NNTY.PC.KD,Open,Adjusted net national income per capita (constant 2010 US$),,Adjusted net national income is GNI minus consumption of fixed capital and natural resources depletion.,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",Economic Policy & Debt: National accounts: Adjusted savings & income,,Annual,2010,,Weighted average,,,,,
NY.ADJ.NNTY.PC.CD,Open,Adjusted net national income per capita (current US$),,Adjusted net national income is GNI minus consumption of fixed capital and natural resources depletion.,"World Bank staff estimates based on sources and methods in World Bank's ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (2011).",Economic Policy & Debt: National accounts: Adjusted savings & income,,Annual,,,Weighted average,,,,,
SI.SPR.PC40.ZG,Open,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","The growth rate in the welfare aggregate of bottom 40% is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40% of the income distribution in a country from household surveys over a roughly 5-year period. Growth rates for most countries are based on survey means of 2011 PPP$. For Iraq, they are based on survey means of 2005 PPP$.","The growth rate in the welfare aggregate of the bottom 40% is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40% of the population in  the income distribution in a country from household surveys over a roughly 5-year period. Mean per capita real consumption or income is measured at 2011 Purchasing Power Parity (PPP) using the PovcalNet (http://iresearch.worldbank.org/PovcalNet). For some countries means are not reported due to grouped and/or confidential data. The annualized growth rate is computed as (Mean in final year/Mean in initial year)^(1/(Final year - Initial year)) - 1.  The reference year is the year in which the underlying household survey data was collected. In cases for which the data collection period bridged two calendar years, the first year in which data were collected is reported. The initial year refers to the nearest survey collected 5 years before the most recent survey available, only surveys collected between 3 and 7 years before the most recent survey are considered. The final year refers to the most recent survey available between 2011 and 2015.

Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet for detailed explanations.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2008 - 2013 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",Poverty: Shared prosperity,%,Annual,,,,,,"Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for detailed explanations.

Because household surveys are infrequent in most countries and are not aligned across countries, comparisons across countries or over time should be made with a high degree of caution.","The comparability of welfare aggregates (consumption or income) for the chosen years T0 and T1 is assessed for every country. If comparability across the two surveys is a major concern for a country, the selection criteria are re-applied to select the next best survey year(s). Annualized growth rates are calculated between the survey years, using a compound growth formula. The survey years defining the period for which growth rates are calculated and the type of welfare aggregate used to calculate the growth rates are noted in the footnotes.","World Bank, PovcalNet: an online poverty analysis tool, http://iresearch.worldbank.org/PovcalNet/index.htm"
