"FCL 
Item 
code ","FCL 
Title",Group Nr.,Group Name,Scientific Name,Common Name,P/D,,"FBS 
GROUP Number","FBS 
GROUP Names","Def Comp
Item
Code","Def Comp
Item
Code",PERISHABLE
0015,Wheat,1,CEREALS AND CEREAL PRODUCTS,"Triticum spp.: 
Triticum aestivum 
Triticum durum 
Triticum spelta","
common 
durum 
spelt",P,y,2511,Wheat,0015,Wheat,NON PERISHABLE
0027,"Rice, paddy",1,CEREALS AND CEREAL PRODUCTS,"Oryza spp.: 
Oryza sativa",,P,y,2805,Rice (Milled Equivalent),0027,"Rice, Paddy",NON PERISHABLE
0044,Barley,1,CEREALS AND CEREAL PRODUCTS,"Hordeum spp.: 
Hordeum disticum 
Hordeum hexasticum 
Hordeum vulgare","
two-row barley 
six-row barley 
four-row barley",P,y,2513,Barley,0044,Barley,NON PERISHABLE
0056,Maize,1,CEREALS AND CEREAL PRODUCTS,Zea mays,"corn, Indian corn, mealies",P,y,2514,Maize,0056,Maize,NON PERISHABLE
0067,White Maize,1,CEREALS AND CEREAL PRODUCTS,,,P,,,,,,
0068,Popcorn,1,CEREALS AND CEREAL PRODUCTS,Zea mays var. everta,,P,y,2520,"Cereals, Other",0068,Pop Corn,
0071,Rye,1,CEREALS AND CEREAL PRODUCTS,Secale cereale,,P,y,2515,Rye,0071,Rye,NON PERISHABLE
0075,Oats,1,CEREALS AND CEREAL PRODUCTS,"Avena spp.: 
Avena sativa",,P,y,2516,Oats,0075,Oats,NON PERISHABLE
0079,Millet,1,CEREALS AND CEREAL PRODUCTS,"Including among all: 
Echinocloa frumentacea 
Eleusine coracana 
Panicum miliaceum 
Paspalum scrobiculatum 
Pennisetum glaucum 
Setaria italica","
barnyard or Japanese millet 
ragi, finger or African millet 
common, golden or proso millet 
koda or ditch millet 
pearl or cattail millet 
foxtail millet",P,y,2517,Millet,0079,Millet,NON PERISHABLE
0083,Sorghum,1,CEREALS AND CEREAL PRODUCTS,"Sorghum spp.: 
Sorghum guineense 
Sorghum vulgare 
Sorghum dura","
guinea corn 
common, milo, feterita, kaffir corn 
durra, jowar, kaoliang",P,y,2518,Sorghum,0083,Sorghum,NON PERISHABLE
0089,Buckwheat,1,CEREALS AND CEREAL PRODUCTS,Fagopyrum esculentum (Polygonaceae),,P,y,2520,"Cereals, Other",0089,Buckwheat,NON PERISHABLE
0092,Quinoa,1,CEREALS AND CEREAL PRODUCTS,Chenopodium quinoa (Chenopodiaceae),,P,y,2520,"Cereals, Other",0092,Quinoa,NON PERISHABLE
0094,Fonio,1,CEREALS AND CEREAL PRODUCTS,"Digitaria spp.: 
Digitaria exilis 
Digitaria iburua","
fonio or findi 
black fonio or hungry rice",P,y,2520,"Cereals, Other",0094,Fonio,NON PERISHABLE
0097,Triticale,1,CEREALS AND CEREAL PRODUCTS,,,P,y,2520,"Cereals, Other",0097,Triticale,NON PERISHABLE
0101,Canary seed,1,CEREALS AND CEREAL PRODUCTS,Phalaris canariensis,,P,y,2520,"Cereals, Other",0101,Canary Seed,NON PERISHABLE
0103,Mixed grain,1,CEREALS AND CEREAL PRODUCTS,,,P,y,2520,"Cereals, Other",0103,Mixed Grain,NON PERISHABLE
0108,"Cereals, nes",1,CEREALS AND CEREAL PRODUCTS,"Including among all: 
Chenopodium pallidicaule 
Amaranthus caudatus 
Coix lacryma-jobi 
Zizania aquatica 
Teff","
canagua or coaihua 
quihuicha or Inca wheat 
adlay or Job's tears 
wild rice 
Eragrostis abyssinica",P,y,2520,"Cereals, Other",0108,Cereals nes,NON PERISHABLE
0116,Potatoes,2,ROOTS AND TUBERS AND DERIVED PRODUCTS,Solanum tuberosum,Irish potato,P,y,2531,Potatoes,0116,Potatoes,SEMI PERISHABLE
0122,Sweet potatoes,2,ROOTS AND TUBERS AND DERIVED PRODUCTS,Ipomoea batatas,,P,y,2533,Sweet Potatoes,0122,Sweet Potatoes,SEMI PERISHABLE
0125,Cassava,2,ROOTS AND TUBERS AND DERIVED PRODUCTS,"Manihot esculenta; Manihot utilissima
Manihot palmata; Manihot dulcis","manioc, mandioca, yuca
yuca dulce",P,y,2532,Cassava,0125,Cassava,SEMI PERISHABLE
0135,Yautia (Cocoyam),2,ROOTS AND TUBERS AND DERIVED PRODUCTS,"Xanthosoma spp.: 
Xanthosoma sagittifolium","
malanga, new cocoyam, ocumo, tannia",P,y,2534,"Roots, Other",0135,Yautia (Cocoyam),SEMI PERISHABLE
0136,Taro (Cocoyam),2,ROOTS AND TUBERS AND DERIVED PRODUCTS,Colocasia esculenta,"Dasheen, eddoe, taro, old cocoyam",P,y,2534,"Roots, Other",0136,Taro (Coco Yam),SEMI PERISHABLE
0137,Yams,2,ROOTS AND TUBERS AND DERIVED PRODUCTS,Dioscorea spp.,,P,y,2535,Yams,0137,Yams,SEMI PERISHABLE
0149,Roots and tubers nes,2,ROOTS AND TUBERS AND DERIVED PRODUCTS,"Including among all: 
Arracacoa xanthorrhiza 
Maranta arundinacea 
Cyperus esculentus 
Metroxylon spp. 
Oxalis tuberosa and Ullucus tuberosus 
Pachyrxhizus erosus, Pachyrxhizus angulatus 
Tropaeolum tuberosum 
Helianthus tuberosus","
arracacha 
arrowroot 
chufa 
sago palm 
oca and ullucu 
yam bean, jicama 
mashua 
Jerusalem artichoke, topinambur",P,y,2534,"Roots, Other",0149,Roots and Tubers nes,SEMI PERISHABLE
0156,Sugar cane,3,SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,Saccharum officinarum,,P,y,2536,Sugar Cane,0156,Sugar Cane,PERISHABLE
0157,Sugar beet,3,SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,Beta vulgaris var. altissima,,P,y,2537,Sugar Beet,0157,Sugar Beets,PERISHABLE
0161,Sugar crops nes,3,SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,"Including among all: 
Acer saccharum 
Sorghum saccharatum 
Arenga saccharifera","
sugar maple 
sweet sorghum 
sugar palm",P,y,2543,"Sweeteners, Other",0161,Sugar Crops nes,PERISHABLE
